canonical_id,source_system,source_id,purchase_order_canonical_id,product_canonical_id,description,source_uom,canonical_uom,units_per_outer,ordered_outers,received_outers,open_quantity,expected_unit_price_per_outer,expected_unit_price_each,net_amount,currency,last_receipt_date,data_class,dataset_version,business_date,seed
operion:demo:interview-v1:purchase-order-line:001,operion,purchase-order-line-001,operion:demo:interview-v1:purchase-order:001,operion:demo:interview-v1:product:002,DEMO Recycled shipping carton M,Unit,Unit,1,27,0,27,1.49,1.49,40.23,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:002,operion,purchase-order-line-002,operion:demo:interview-v1:purchase-order:001,operion:demo:interview-v1:product:003,DEMO Recycled shipping carton L,Unit,Unit,1,14,0,14,1.98,1.98,27.72,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:003,operion,purchase-order-line-003,operion:demo:interview-v1:purchase-order:001,operion:demo:interview-v1:product:004,DEMO Paper packing tape 50 mm,Roll,Roll,1,23,0,23,2.32,2.32,53.36,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:004,operion,purchase-order-line-004,operion:demo:interview-v1:purchase-order:001,operion:demo:interview-v1:product:005,DEMO Water-activated tape 70 mm,Roll,Roll,1,46,0,46,3.47,3.47,159.62,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:005,operion,purchase-order-line-005,operion:demo:interview-v1:purchase-order:002,operion:demo:interview-v1:product:004,DEMO Paper packing tape 50 mm,Roll,Roll,1,23,0,23,2.32,2.32,53.36,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:006,operion,purchase-order-line-006,operion:demo:interview-v1:purchase-order:002,operion:demo:interview-v1:product:005,DEMO Water-activated tape 70 mm,Roll,Roll,1,51,0,51,3.47,3.47,176.97,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:007,operion,purchase-order-line-007,operion:demo:interview-v1:purchase-order:002,operion:demo:interview-v1:product:006,DEMO Kraft void-fill paper,Kilogram,Kilogram,1,41,0,41,1.83,1.83,75.03,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:008,operion,purchase-order-line-008,operion:demo:interview-v1:purchase-order:003,operion:demo:interview-v1:product:006,DEMO Kraft void-fill paper,Kilogram,Kilogram,1,51,0,51,1.83,1.83,93.33,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:009,operion,purchase-order-line-009,operion:demo:interview-v1:purchase-order:003,operion:demo:interview-v1:product:007,DEMO Reusable pallet wrap,Roll,Roll,1,39,0,39,5.21,5.21,203.19,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:010,operion,purchase-order-line-010,operion:demo:interview-v1:purchase-order:003,operion:demo:interview-v1:product:008,DEMO Compostable mailer S,Unit,Unit,1,19,0,19,0.30,0.30,5.70,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:011,operion,purchase-order-line-011,operion:demo:interview-v1:purchase-order:003,operion:demo:interview-v1:product:009,DEMO Compostable mailer L,Unit,Unit,1,26,0,26,0.45,0.45,11.70,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:012,operion,purchase-order-line-012,operion:demo:interview-v1:purchase-order:004,operion:demo:interview-v1:product:008,DEMO Compostable mailer S,Unit,Unit,1,25,0,25,0.30,0.30,7.50,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:013,operion,purchase-order-line-013,operion:demo:interview-v1:purchase-order:004,operion:demo:interview-v1:product:009,DEMO Compostable mailer L,Unit,Unit,1,57,0,57,0.45,0.45,25.65,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:014,operion,purchase-order-line-014,operion:demo:interview-v1:purchase-order:005,operion:demo:interview-v1:product:010,DEMO Thermal shipping label,Pack,Pack,1,57,57,0,7.75,7.75,441.75,EUR,2026-10-10,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:015,operion,purchase-order-line-015,operion:demo:interview-v1:purchase-order:005,operion:demo:interview-v1:product:011,DEMO Corner protector set,Pack,Pack,1,47,47,0,4.22,4.22,198.34,EUR,2026-10-10,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:016,operion,purchase-order-line-016,operion:demo:interview-v1:purchase-order:005,operion:demo:interview-v1:product:012,DEMO Document pouch,Pack,Pack,1,37,37,0,6.14,6.14,227.18,EUR,2026-10-10,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:017,operion,purchase-order-line-017,operion:demo:interview-v1:purchase-order:006,operion:demo:interview-v1:product:012,DEMO Document pouch,Pack,Pack,1,33,0,33,6.14,6.14,202.62,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:018,operion,purchase-order-line-018,operion:demo:interview-v1:purchase-order:006,operion:demo:interview-v1:product:001,DEMO Recycled shipping carton S,Unit,Unit,1,24,0,24,1.15,1.15,27.60,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:019,operion,purchase-order-line-019,operion:demo:interview-v1:purchase-order:006,operion:demo:interview-v1:product:002,DEMO Recycled shipping carton M,Unit,Unit,1,18,0,18,1.49,1.49,26.82,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:020,operion,purchase-order-line-020,operion:demo:interview-v1:purchase-order:006,operion:demo:interview-v1:product:003,DEMO Recycled shipping carton L,Unit,Unit,1,42,0,42,1.98,1.98,83.16,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:021,operion,purchase-order-line-021,operion:demo:interview-v1:purchase-order:007,operion:demo:interview-v1:product:002,DEMO Recycled shipping carton M,Unit,Unit,1,15,0,15,1.49,1.49,22.35,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:022,operion,purchase-order-line-022,operion:demo:interview-v1:purchase-order:007,operion:demo:interview-v1:product:003,DEMO Recycled shipping carton L,Unit,Unit,1,58,0,58,1.98,1.98,114.84,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:023,operion,purchase-order-line-023,operion:demo:interview-v1:purchase-order:007,operion:demo:interview-v1:product:004,DEMO Paper packing tape 50 mm,Roll,Roll,1,13,0,13,2.32,2.32,30.16,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:024,operion,purchase-order-line-024,operion:demo:interview-v1:purchase-order:007,operion:demo:interview-v1:product:005,DEMO Water-activated tape 70 mm,Roll,Roll,1,17,0,17,3.47,3.47,58.99,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:025,operion,purchase-order-line-025,operion:demo:interview-v1:purchase-order:008,operion:demo:interview-v1:product:004,DEMO Paper packing tape 50 mm,Roll,Roll,1,50,0,50,2.32,2.32,116.00,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:026,operion,purchase-order-line-026,operion:demo:interview-v1:purchase-order:008,operion:demo:interview-v1:product:005,DEMO Water-activated tape 70 mm,Roll,Roll,1,20,0,20,3.47,3.47,69.40,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:027,operion,purchase-order-line-027,operion:demo:interview-v1:purchase-order:009,operion:demo:interview-v1:product:006,DEMO Kraft void-fill paper,Kilogram,Kilogram,1,48,0,48,1.83,1.83,87.84,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:028,operion,purchase-order-line-028,operion:demo:interview-v1:purchase-order:009,operion:demo:interview-v1:product:007,DEMO Reusable pallet wrap,Roll,Roll,1,14,0,14,5.21,5.21,72.94,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:029,operion,purchase-order-line-029,operion:demo:interview-v1:purchase-order:009,operion:demo:interview-v1:product:008,DEMO Compostable mailer S,Unit,Unit,1,34,0,34,0.30,0.30,10.20,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:030,operion,purchase-order-line-030,operion:demo:interview-v1:purchase-order:009,operion:demo:interview-v1:product:009,DEMO Compostable mailer L,Unit,Unit,1,34,0,34,0.45,0.45,15.30,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:031,operion,purchase-order-line-031,operion:demo:interview-v1:purchase-order:010,operion:demo:interview-v1:product:008,DEMO Compostable mailer S,Unit,Unit,1,43,43,0,0.30,0.30,12.90,EUR,2026-09-10,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:032,operion,purchase-order-line-032,operion:demo:interview-v1:purchase-order:010,operion:demo:interview-v1:product:009,DEMO Compostable mailer L,Unit,Unit,1,26,26,0,0.45,0.45,11.70,EUR,2026-09-10,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:033,operion,purchase-order-line-033,operion:demo:interview-v1:purchase-order:010,operion:demo:interview-v1:product:010,DEMO Thermal shipping label,Pack,Pack,1,45,45,0,7.75,7.75,348.75,EUR,2026-09-10,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:034,operion,purchase-order-line-034,operion:demo:interview-v1:purchase-order:010,operion:demo:interview-v1:product:011,DEMO Corner protector set,Pack,Pack,1,10,10,0,4.22,4.22,42.20,EUR,2026-09-10,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:035,operion,purchase-order-line-035,operion:demo:interview-v1:purchase-order:011,operion:demo:interview-v1:product:010,DEMO Thermal shipping label,Pack,Pack,1,53,0,53,7.75,7.75,410.75,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:036,operion,purchase-order-line-036,operion:demo:interview-v1:purchase-order:012,operion:demo:interview-v1:product:012,DEMO Document pouch,Pack,Pack,1,59,0,59,6.14,6.14,362.26,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:037,operion,purchase-order-line-037,operion:demo:interview-v1:purchase-order:012,operion:demo:interview-v1:product:001,DEMO Recycled shipping carton S,Unit,Unit,1,51,0,51,1.15,1.15,58.65,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:038,operion,purchase-order-line-038,operion:demo:interview-v1:purchase-order:012,operion:demo:interview-v1:product:002,DEMO Recycled shipping carton M,Unit,Unit,1,31,0,31,1.49,1.49,46.19,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:039,operion,purchase-order-line-039,operion:demo:interview-v1:purchase-order:013,operion:demo:interview-v1:product:002,DEMO Recycled shipping carton M,Unit,Unit,1,28,0,28,1.49,1.49,41.72,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:040,operion,purchase-order-line-040,operion:demo:interview-v1:purchase-order:014,operion:demo:interview-v1:product:004,DEMO Paper packing tape 50 mm,Roll,Roll,1,20,0,20,2.32,2.32,46.40,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:041,operion,purchase-order-line-041,operion:demo:interview-v1:purchase-order:014,operion:demo:interview-v1:product:005,DEMO Water-activated tape 70 mm,Roll,Roll,1,39,0,39,3.47,3.47,135.33,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:042,operion,purchase-order-line-042,operion:demo:interview-v1:purchase-order:014,operion:demo:interview-v1:product:006,DEMO Kraft void-fill paper,Kilogram,Kilogram,1,10,0,10,1.83,1.83,18.30,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:043,operion,purchase-order-line-043,operion:demo:interview-v1:purchase-order:014,operion:demo:interview-v1:product:007,DEMO Reusable pallet wrap,Roll,Roll,1,56,0,56,5.21,5.21,291.76,EUR,,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:044,operion,purchase-order-line-044,operion:demo:interview-v1:purchase-order:015,operion:demo:interview-v1:product:006,DEMO Kraft void-fill paper,Kilogram,Kilogram,1,42,42,0,1.83,1.83,76.86,EUR,2026-08-20,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:045,operion,purchase-order-line-045,operion:demo:interview-v1:purchase-order:015,operion:demo:interview-v1:product:007,DEMO Reusable pallet wrap,Roll,Roll,1,58,58,0,5.21,5.21,302.18,EUR,2026-08-20,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order-line:046,operion,purchase-order-line-046,operion:demo:interview-v1:purchase-order:015,operion:demo:interview-v1:product:008,DEMO Compostable mailer S,Unit,Unit,1,21,21,0,0.30,0.30,6.30,EUR,2026-08-20,simulated,interview-demo-v1,2026-09-15,42
