canonical_id,source_system,source_id,supplier_canonical_id,contact_canonical_id,order_date,expected_delivery_date,supplier_reference,source_status,docstatus,business_status,currency,net_total_ex_tax,data_class,dataset_version,business_date,seed
operion:demo:interview-v1:purchase-order:001,operion,purchase-order-001,operion:demo:interview-v1:supplier:001,operion:demo:interview-v1:contact:016,2026-08-17,2026-08-23,DEMO-PO-001,to_receive,1,to_receive,EUR,280.93,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order:002,operion,purchase-order-002,operion:demo:interview-v1:supplier:001,operion:demo:interview-v1:contact:016,2026-08-28,2026-09-04,DEMO-PO-002,to_receive,1,to_receive,EUR,305.36,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order:003,operion,purchase-order-003,operion:demo:interview-v1:supplier:001,operion:demo:interview-v1:contact:016,2026-09-08,2026-09-16,DEMO-PO-003,to_receive,1,to_receive,EUR,313.92,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order:004,operion,purchase-order-004,operion:demo:interview-v1:supplier:001,operion:demo:interview-v1:contact:016,2026-09-19,2026-09-28,DEMO-PO-004,to_receive,1,to_receive,EUR,33.15,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order:005,operion,purchase-order-005,operion:demo:interview-v1:supplier:001,operion:demo:interview-v1:contact:016,2026-09-30,2026-10-10,DEMO-PO-005,completed,1,completed,EUR,867.27,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order:006,operion,purchase-order-006,operion:demo:interview-v1:supplier:002,operion:demo:interview-v1:contact:017,2026-10-11,2026-10-22,DEMO-PO-006,draft,0,draft,EUR,340.20,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order:007,operion,purchase-order-007,operion:demo:interview-v1:supplier:002,operion:demo:interview-v1:contact:017,2026-10-22,2026-11-03,DEMO-PO-007,to_receive,1,to_receive,EUR,226.34,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order:008,operion,purchase-order-008,operion:demo:interview-v1:supplier:002,operion:demo:interview-v1:contact:017,2026-08-13,2026-08-26,DEMO-PO-008,to_receive,1,to_receive,EUR,185.40,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order:009,operion,purchase-order-009,operion:demo:interview-v1:supplier:002,operion:demo:interview-v1:contact:017,2026-08-24,2026-08-29,DEMO-PO-009,to_receive,1,to_receive,EUR,186.28,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order:010,operion,purchase-order-010,operion:demo:interview-v1:supplier:003,operion:demo:interview-v1:contact:018,2026-09-04,2026-09-10,DEMO-PO-010,completed,1,completed,EUR,415.55,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order:011,operion,purchase-order-011,operion:demo:interview-v1:supplier:003,operion:demo:interview-v1:contact:018,2026-09-15,2026-09-22,DEMO-PO-011,to_receive,1,to_receive,EUR,410.75,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order:012,operion,purchase-order-012,operion:demo:interview-v1:supplier:003,operion:demo:interview-v1:contact:018,2026-09-26,2026-10-04,DEMO-PO-012,draft,0,draft,EUR,467.10,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order:013,operion,purchase-order-013,operion:demo:interview-v1:supplier:004,operion:demo:interview-v1:contact:019,2026-10-07,2026-10-16,DEMO-PO-013,to_receive,1,to_receive,EUR,41.72,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order:014,operion,purchase-order-014,operion:demo:interview-v1:supplier:004,operion:demo:interview-v1:contact:019,2026-10-18,2026-10-28,DEMO-PO-014,to_receive,1,to_receive,EUR,491.79,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:purchase-order:015,operion,purchase-order-015,operion:demo:interview-v1:supplier:004,operion:demo:interview-v1:contact:019,2026-08-09,2026-08-20,DEMO-PO-015,completed,1,completed,EUR,385.34,simulated,interview-demo-v1,2026-09-15,42
