canonical_id,source_system,source_id,sales_order_canonical_id,product_canonical_id,description,uom,ordered_quantity,picked_quantity,unpicked_quantity,delivered_quantity,delivery_evidence,open_quantity,unit_price_ex_tax,tax_rate_percent,net_amount,currency,data_class,dataset_version,business_date,seed
operion:demo:interview-v1:sales-order-line:001,operion,sales-order-line-001,operion:demo:interview-v1:sales-order:001,operion:demo:interview-v1:product:001,DEMO Recycled shipping carton S,Unit,2,,,0,simulated_fixture,2,1.95,19,3.90,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:002,operion,sales-order-line-002,operion:demo:interview-v1:sales-order:002,operion:demo:interview-v1:product:002,DEMO Recycled shipping carton M,Unit,9,,,0,simulated_fixture,9,2.50,19,22.50,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:003,operion,sales-order-line-003,operion:demo:interview-v1:sales-order:002,operion:demo:interview-v1:product:005,DEMO Water-activated tape 70 mm,Roll,9,,,0,simulated_fixture,9,5.70,19,51.30,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:004,operion,sales-order-line-004,operion:demo:interview-v1:sales-order:002,operion:demo:interview-v1:product:008,DEMO Compostable mailer S,Unit,6,,,0,simulated_fixture,6,0.58,19,3.48,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:005,operion,sales-order-line-005,operion:demo:interview-v1:sales-order:003,operion:demo:interview-v1:product:003,DEMO Recycled shipping carton L,Unit,23,,,0,simulated_fixture,23,3.30,19,75.90,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:006,operion,sales-order-line-006,operion:demo:interview-v1:sales-order:004,operion:demo:interview-v1:product:004,DEMO Paper packing tape 50 mm,Roll,20,,,0,simulated_fixture,20,3.85,19,77.00,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:007,operion,sales-order-line-007,operion:demo:interview-v1:sales-order:005,operion:demo:interview-v1:product:005,DEMO Water-activated tape 70 mm,Roll,3,,,3,simulated_fixture,0,5.70,19,17.10,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:008,operion,sales-order-line-008,operion:demo:interview-v1:sales-order:005,operion:demo:interview-v1:product:008,DEMO Compostable mailer S,Unit,2,,,2,simulated_fixture,0,0.58,19,1.16,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:009,operion,sales-order-line-009,operion:demo:interview-v1:sales-order:005,operion:demo:interview-v1:product:011,DEMO Corner protector set,Pack,4,,,4,simulated_fixture,0,6.90,19,27.60,EUR,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order-line:010,operion,sales-order-line-010,operion:demo:interview-v1:sales-order:005,operion:demo:interview-v1:product:002,DEMO Recycled shipping carton M,Unit,8,,,8,simulated_fixture,0,2.50,19,20.00,EUR,simulated,interview-demo-v1,2026-09-15,42
