canonical_id,source_system,source_id,customer_canonical_id,contact_canonical_id,salesperson_canonical_id,order_date,expected_delivery_date,customer_po_number,source_status,docstatus,business_status,currency,net_total_ex_tax,data_class,dataset_version,business_date,seed
operion:demo:interview-v1:sales-order:001,operion,sales-order-001,operion:demo:interview-v1:customer:001,operion:demo:interview-v1:contact:001,,2026-08-08,2026-08-12,DEMO-SO-001,to_deliver,1,to_deliver,EUR,3.90,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order:002,operion,sales-order-002,operion:demo:interview-v1:customer:001,operion:demo:interview-v1:contact:001,,2026-08-15,2026-08-20,DEMO-SO-002,to_deliver,1,to_deliver,EUR,77.28,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order:003,operion,sales-order-003,operion:demo:interview-v1:customer:001,operion:demo:interview-v1:contact:001,,2026-08-22,2026-08-28,DEMO-SO-003,to_deliver,1,to_deliver,EUR,75.90,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order:004,operion,sales-order-004,operion:demo:interview-v1:customer:001,operion:demo:interview-v1:contact:001,,2026-08-29,2026-09-05,DEMO-SO-004,to_deliver,1,to_deliver,EUR,77.00,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order:005,operion,sales-order-005,operion:demo:interview-v1:customer:001,operion:demo:interview-v1:contact:001,,2026-09-05,2026-09-13,DEMO-SO-005,completed,1,completed,EUR,65.86,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order:006,operion,sales-order-006,operion:demo:interview-v1:customer:001,operion:demo:interview-v1:contact:001,,2026-09-12,2026-09-21,DEMO-SO-006,to_deliver,1,to_deliver,EUR,72.12,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order:007,operion,sales-order-007,operion:demo:interview-v1:customer:001,operion:demo:interview-v1:contact:001,,2026-09-19,2026-09-29,DEMO-SO-007,draft,0,draft,EUR,161.50,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order:008,operion,sales-order-008,operion:demo:interview-v1:customer:001,operion:demo:interview-v1:contact:001,,2026-09-26,2026-09-29,DEMO-SO-008,to_deliver,1,to_deliver,EUR,165.72,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order:009,operion,sales-order-009,operion:demo:interview-v1:customer:001,operion:demo:interview-v1:contact:001,,2026-10-03,2026-10-07,DEMO-SO-009,to_deliver,1,to_deliver,EUR,263.88,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:sales-order:010,operion,sales-order-010,operion:demo:interview-v1:customer:002,operion:demo:interview-v1:contact:002,,2026-10-10,2026-10-15,DEMO-SO-010,completed,1,completed,EUR,88.90,simulated,interview-demo-v1,2026-09-15,42
