canonical_id,source_system,source_id,purchase_order_canonical_id,product_canonical_id,description,source_uom,canonical_uom,units_per_outer,ordered_outers,received_outers,open_quantity,expected_unit_price_per_outer,expected_unit_price_each,net_amount,currency,last_receipt_date,data_class,dataset_version,business_date,seed
wwi:purchase_order_line:8240,wwi,8240,wwi:purchase_order:2044,wwi:product:184,Shipping carton (Brown) 305x305x305mm,Each,Each,25,1592,1592,0,47.50,1.900000,75620.00,USD,2016-05-13,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8241,wwi,8241,wwi:purchase_order:2044,wwi:product:193,Black and orange glass with care despatch tape 48mmx75m,Each,Each,24,2736,2736,0,38.40,1.600000,105062.40,USD,2016-05-13,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8242,wwi,8242,wwi:purchase_order:2044,wwi:product:204,Tape dispenser (Red),Each,Each,10,3192,3192,0,170.00,17.000000,542640.00,USD,2016-05-13,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8249,wwi,8249,wwi:purchase_order:2046,wwi:product:184,Shipping carton (Brown) 305x305x305mm,Each,Each,25,1597,1597,0,47.50,1.900000,75857.50,USD,2016-05-16,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8250,wwi,8250,wwi:purchase_order:2046,wwi:product:193,Black and orange glass with care despatch tape 48mmx75m,Each,Each,24,2735,2735,0,38.40,1.600000,105024.00,USD,2016-05-16,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8251,wwi,8251,wwi:purchase_order:2046,wwi:product:204,Tape dispenser (Red),Each,Each,10,3190,3190,0,170.00,17.000000,542300.00,USD,2016-05-16,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8260,wwi,8260,wwi:purchase_order:2049,wwi:product:184,Shipping carton (Brown) 305x305x305mm,Each,Each,25,1602,1602,0,47.50,1.900000,76095.00,USD,2016-05-17,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8261,wwi,8261,wwi:purchase_order:2049,wwi:product:193,Black and orange glass with care despatch tape 48mmx75m,Each,Each,24,2731,2731,0,38.40,1.600000,104870.40,USD,2016-05-17,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8262,wwi,8262,wwi:purchase_order:2049,wwi:product:204,Tape dispenser (Red),Each,Each,10,3186,3186,0,170.00,17.000000,541620.00,USD,2016-05-17,public_sample,interview-wwi-v1,2016-05-31,42
wwi:purchase_order_line:8269,wwi,8269,wwi:purchase_order:2051,wwi:product:184,Shipping carton (Brown) 305x305x305mm,Each,Each,25,1605,1605,0,47.50,1.900000,76237.50,USD,2016-05-18,public_sample,interview-wwi-v1,2016-05-31,42
