canonical_id,source_system,source_id,customer_canonical_id,contact_canonical_id,salesperson_canonical_id,order_date,expected_delivery_date,customer_po_number,source_status,docstatus,business_status,currency,net_total_ex_tax,data_class,dataset_version,business_date,seed
wwi:sales_order:66694,wwi,66694,wwi:organization:customer:58,wwi:contact:1115,,2016-02-15,2016-02-16,13888,open,,open,USD,532.80,public_sample,interview-wwi-v1,2016-05-31,42
wwi:sales_order:42840,wwi,42840,wwi:organization:customer:58,wwi:contact:1115,,2015-02-07,2015-02-09,11399,picked,,picked,USD,640.00,public_sample,interview-wwi-v1,2016-05-31,42
wwi:sales_order:42411,wwi,42411,wwi:organization:customer:58,wwi:contact:1115,,2014-12-25,2014-12-26,12015,open,,open,USD,710.40,public_sample,interview-wwi-v1,2016-05-31,42
wwi:sales_order:40304,wwi,40304,wwi:organization:customer:58,wwi:contact:1115,,2014-12-25,2014-12-26,12015,picked,,picked,USD,525.00,public_sample,interview-wwi-v1,2016-05-31,42
wwi:sales_order:66823,wwi,66823,wwi:organization:customer:65,wwi:contact:1129,,2016-02-17,2016-02-18,18055,picked,,picked,USD,177.60,public_sample,interview-wwi-v1,2016-05-31,42
wwi:sales_order:57891,wwi,57891,wwi:organization:customer:65,wwi:contact:1129,,2015-09-25,2015-09-28,17789,open,,open,USD,710.40,public_sample,interview-wwi-v1,2016-05-31,42
wwi:sales_order:56074,wwi,56074,wwi:organization:customer:65,wwi:contact:1129,,2015-08-28,2015-08-31,10764,picked,,picked,USD,350.00,public_sample,interview-wwi-v1,2016-05-31,42
wwi:sales_order:53965,wwi,53965,wwi:organization:customer:65,wwi:contact:1129,,2015-07-25,2015-07-27,12631,picked,,picked,USD,640.00,public_sample,interview-wwi-v1,2016-05-31,42
wwi:sales_order:53222,wwi,53222,wwi:organization:customer:65,wwi:contact:1129,,2015-07-15,2015-07-16,12456,open,,open,USD,621.60,public_sample,interview-wwi-v1,2016-05-31,42
wwi:sales_order:47710,wwi,47710,wwi:organization:customer:65,wwi:contact:1129,,2015-04-23,2015-04-24,19101,picked,,picked,USD,1920.00,public_sample,interview-wwi-v1,2016-05-31,42
wwi:sales_order:43195,wwi,43195,wwi:organization:customer:65,wwi:contact:1129,,2015-02-12,2015-02-13,15434,picked,,picked,USD,266.40,public_sample,interview-wwi-v1,2016-05-31,42
wwi:sales_order:41481,wwi,41481,wwi:organization:customer:65,wwi:contact:1129,,2015-01-15,2015-01-16,15750,picked,,picked,USD,525.00,public_sample,interview-wwi-v1,2016-05-31,42
wwi:sales_order:36352,wwi,36352,wwi:organization:customer:65,wwi:contact:1129,,2014-10-20,2014-10-21,19568,picked,,picked,USD,87.50,public_sample,interview-wwi-v1,2016-05-31,42
wwi:sales_order:31349,wwi,31349,wwi:organization:customer:65,wwi:contact:1129,,2014-07-22,2014-07-23,19301,picked,,picked,USD,444.00,public_sample,interview-wwi-v1,2016-05-31,42
wwi:sales_order:71206,wwi,71206,wwi:organization:customer:183,wwi:contact:1365,,2016-04-26,2016-04-27,11364,open,,open,USD,710.40,public_sample,interview-wwi-v1,2016-05-31,42
wwi:sales_order:63469,wwi,63469,wwi:organization:customer:183,wwi:contact:1365,,2015-12-23,2015-12-24,14569,open,,open,USD,612.50,public_sample,interview-wwi-v1,2016-05-31,42
wwi:sales_order:62581,wwi,62581,wwi:organization:customer:183,wwi:contact:1365,,2015-12-08,2015-12-09,10455,open,,open,USD,710.40,public_sample,interview-wwi-v1,2016-05-31,42
wwi:sales_order:40787,wwi,40787,wwi:organization:customer:183,wwi:contact:1365,,2015-01-02,2015-01-05,16762,picked,,picked,USD,175.00,public_sample,interview-wwi-v1,2016-05-31,42
wwi:sales_order:60139,wwi,60139,wwi:organization:customer:463,wwi:contact:2125,,2015-10-30,2015-11-02,14977,picked,,picked,USD,262.50,public_sample,interview-wwi-v1,2016-05-31,42
wwi:sales_order:58562,wwi,58562,wwi:organization:customer:463,wwi:contact:2125,,2015-10-06,2015-10-07,18194,open,,open,USD,2560.00,public_sample,interview-wwi-v1,2016-05-31,42
wwi:sales_order:55522,wwi,55522,wwi:organization:customer:463,wwi:contact:2125,,2015-08-20,2015-08-21,11006,open,,open,USD,1920.00,public_sample,interview-wwi-v1,2016-05-31,42
wwi:sales_order:51106,wwi,51106,wwi:organization:customer:840,wwi:contact:3040,,2015-06-12,2015-06-15,15002,picked,,picked,USD,437.50,public_sample,interview-wwi-v1,2016-05-31,42
wwi:sales_order:50679,wwi,50679,wwi:organization:customer:840,wwi:contact:3040,,2015-06-06,2015-06-08,17599,picked,,picked,USD,525.00,public_sample,interview-wwi-v1,2016-05-31,42
wwi:sales_order:50258,wwi,50258,wwi:organization:customer:840,wwi:contact:3040,,2015-06-01,2015-06-02,14858,open,,open,USD,621.60,public_sample,interview-wwi-v1,2016-05-31,42
wwi:sales_order:73279,wwi,73279,wwi:organization:customer:935,wwi:contact:3135,,2016-05-26,2016-05-27,18242,open,,open,USD,1146.60,public_sample,interview-wwi-v1,2016-05-31,42
wwi:sales_order:69872,wwi,69872,wwi:organization:customer:935,wwi:contact:3135,,2016-04-06,2016-04-07,13774,open,,open,USD,2880.00,public_sample,interview-wwi-v1,2016-05-31,42
wwi:sales_order:72172,wwi,72172,wwi:organization:customer:961,wwi:contact:3161,,2016-05-10,2016-05-11,14768,open,,open,USD,621.60,public_sample,interview-wwi-v1,2016-05-31,42
wwi:sales_order:55518,wwi,55518,wwi:organization:customer:961,wwi:contact:3161,,2015-08-20,2015-08-21,12627,picked,,picked,USD,525.00,public_sample,interview-wwi-v1,2016-05-31,42
wwi:sales_order:69034,wwi,69034,wwi:organization:customer:1011,wwi:contact:3211,,2016-03-23,2016-03-24,19677,open,,open,USD,1920.00,public_sample,interview-wwi-v1,2016-05-31,42
wwi:sales_order:57457,wwi,57457,wwi:organization:customer:1011,wwi:contact:3211,,2015-09-19,2015-09-21,10609,open,,open,USD,2560.00,public_sample,interview-wwi-v1,2016-05-31,42
