entity_type,source_system,source_id,canonical_id,target_system,target_id,batch_id,mapping_version,load_status,error
organization,operion,customer-001,operion:demo:interview-v1:customer:001,erpnext,,interview-demo-v1,interview-demo-v1,pending,
organization,operion,customer-001,operion:demo:interview-v1:customer:001,twenty,,interview-demo-v1,interview-demo-v1,pending,
organization,operion,customer-002,operion:demo:interview-v1:customer:002,erpnext,,interview-demo-v1,interview-demo-v1,pending,
organization,operion,customer-002,operion:demo:interview-v1:customer:002,twenty,,interview-demo-v1,interview-demo-v1,pending,
organization,operion,customer-003,operion:demo:interview-v1:customer:003,erpnext,,interview-demo-v1,interview-demo-v1,pending,
organization,operion,customer-003,operion:demo:interview-v1:customer:003,twenty,,interview-demo-v1,interview-demo-v1,pending,
organization,operion,customer-004,operion:demo:interview-v1:customer:004,erpnext,,interview-demo-v1,interview-demo-v1,pending,
organization,operion,customer-004,operion:demo:interview-v1:customer:004,twenty,,interview-demo-v1,interview-demo-v1,pending,
organization,operion,customer-005,operion:demo:interview-v1:customer:005,erpnext,,interview-demo-v1,interview-demo-v1,pending,
organization,operion,customer-005,operion:demo:interview-v1:customer:005,twenty,,interview-demo-v1,interview-demo-v1,pending,
organization,operion,customer-006,operion:demo:interview-v1:customer:006,erpnext,,interview-demo-v1,interview-demo-v1,pending,
organization,operion,customer-006,operion:demo:interview-v1:customer:006,twenty,,interview-demo-v1,interview-demo-v1,pending,
organization,operion,customer-007,operion:demo:interview-v1:customer:007,erpnext,,interview-demo-v1,interview-demo-v1,pending,
organization,operion,customer-007,operion:demo:interview-v1:customer:007,twenty,,interview-demo-v1,interview-demo-v1,pending,
organization,operion,customer-008,operion:demo:interview-v1:customer:008,erpnext,,interview-demo-v1,interview-demo-v1,pending,
organization,operion,customer-008,operion:demo:interview-v1:customer:008,twenty,,interview-demo-v1,interview-demo-v1,pending,
organization,operion,customer-009,operion:demo:interview-v1:customer:009,erpnext,,interview-demo-v1,interview-demo-v1,pending,
organization,operion,customer-009,operion:demo:interview-v1:customer:009,twenty,,interview-demo-v1,interview-demo-v1,pending,
organization,operion,customer-010,operion:demo:interview-v1:customer:010,erpnext,,interview-demo-v1,interview-demo-v1,pending,
organization,operion,customer-010,operion:demo:interview-v1:customer:010,twenty,,interview-demo-v1,interview-demo-v1,pending,
organization,operion,supplier-001,operion:demo:interview-v1:supplier:001,erpnext,,interview-demo-v1,interview-demo-v1,pending,
organization,operion,supplier-002,operion:demo:interview-v1:supplier:002,erpnext,,interview-demo-v1,interview-demo-v1,pending,
organization,operion,supplier-003,operion:demo:interview-v1:supplier:003,erpnext,,interview-demo-v1,interview-demo-v1,pending,
organization,operion,supplier-004,operion:demo:interview-v1:supplier:004,erpnext,,interview-demo-v1,interview-demo-v1,pending,
organization,operion,supplier-005,operion:demo:interview-v1:supplier:005,erpnext,,interview-demo-v1,interview-demo-v1,pending,
contact,operion,customer-001-contact-01,operion:demo:interview-v1:contact:001,erpnext,,interview-demo-v1,interview-demo-v1,pending,
contact,operion,customer-001-contact-01,operion:demo:interview-v1:contact:001,twenty,,interview-demo-v1,interview-demo-v1,pending,
contact,operion,customer-002-contact-01,operion:demo:interview-v1:contact:002,erpnext,,interview-demo-v1,interview-demo-v1,pending,
contact,operion,customer-002-contact-01,operion:demo:interview-v1:contact:002,twenty,,interview-demo-v1,interview-demo-v1,pending,
contact,operion,customer-003-contact-01,operion:demo:interview-v1:contact:003,erpnext,,interview-demo-v1,interview-demo-v1,pending,
contact,operion,customer-003-contact-01,operion:demo:interview-v1:contact:003,twenty,,interview-demo-v1,interview-demo-v1,pending,
contact,operion,customer-004-contact-01,operion:demo:interview-v1:contact:004,erpnext,,interview-demo-v1,interview-demo-v1,pending,
contact,operion,customer-004-contact-01,operion:demo:interview-v1:contact:004,twenty,,interview-demo-v1,interview-demo-v1,pending,
contact,operion,customer-005-contact-01,operion:demo:interview-v1:contact:005,erpnext,,interview-demo-v1,interview-demo-v1,pending,
contact,operion,customer-005-contact-01,operion:demo:interview-v1:contact:005,twenty,,interview-demo-v1,interview-demo-v1,pending,
contact,operion,customer-006-contact-01,operion:demo:interview-v1:contact:006,erpnext,,interview-demo-v1,interview-demo-v1,pending,
contact,operion,customer-006-contact-01,operion:demo:interview-v1:contact:006,twenty,,interview-demo-v1,interview-demo-v1,pending,
contact,operion,customer-007-contact-01,operion:demo:interview-v1:contact:007,erpnext,,interview-demo-v1,interview-demo-v1,pending,
contact,operion,customer-007-contact-01,operion:demo:interview-v1:contact:007,twenty,,interview-demo-v1,interview-demo-v1,pending,
contact,operion,customer-008-contact-01,operion:demo:interview-v1:contact:008,erpnext,,interview-demo-v1,interview-demo-v1,pending,
contact,operion,customer-008-contact-01,operion:demo:interview-v1:contact:008,twenty,,interview-demo-v1,interview-demo-v1,pending,
contact,operion,customer-009-contact-01,operion:demo:interview-v1:contact:009,erpnext,,interview-demo-v1,interview-demo-v1,pending,
contact,operion,customer-009-contact-01,operion:demo:interview-v1:contact:009,twenty,,interview-demo-v1,interview-demo-v1,pending,
contact,operion,customer-010-contact-01,operion:demo:interview-v1:contact:010,erpnext,,interview-demo-v1,interview-demo-v1,pending,
contact,operion,customer-010-contact-01,operion:demo:interview-v1:contact:010,twenty,,interview-demo-v1,interview-demo-v1,pending,
contact,operion,customer-001-contact-02,operion:demo:interview-v1:contact:011,erpnext,,interview-demo-v1,interview-demo-v1,pending,
contact,operion,customer-001-contact-02,operion:demo:interview-v1:contact:011,twenty,,interview-demo-v1,interview-demo-v1,pending,
contact,operion,customer-002-contact-02,operion:demo:interview-v1:contact:012,erpnext,,interview-demo-v1,interview-demo-v1,pending,
contact,operion,customer-002-contact-02,operion:demo:interview-v1:contact:012,twenty,,interview-demo-v1,interview-demo-v1,pending,
contact,operion,customer-003-contact-02,operion:demo:interview-v1:contact:013,erpnext,,interview-demo-v1,interview-demo-v1,pending,
