entity_type,source_system,source_id,canonical_id,target_system,target_id,batch_id,mapping_version,load_status,error
organization,wwi,58,wwi:organization:customer:58,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
organization,wwi,58,wwi:organization:customer:58,twenty,,interview-wwi-v1,interview-wwi-v1,pending,
organization,wwi,60,wwi:organization:customer:60,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
organization,wwi,60,wwi:organization:customer:60,twenty,,interview-wwi-v1,interview-wwi-v1,pending,
organization,wwi,65,wwi:organization:customer:65,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
organization,wwi,65,wwi:organization:customer:65,twenty,,interview-wwi-v1,interview-wwi-v1,pending,
organization,wwi,88,wwi:organization:customer:88,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
organization,wwi,88,wwi:organization:customer:88,twenty,,interview-wwi-v1,interview-wwi-v1,pending,
organization,wwi,183,wwi:organization:customer:183,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
organization,wwi,183,wwi:organization:customer:183,twenty,,interview-wwi-v1,interview-wwi-v1,pending,
organization,wwi,463,wwi:organization:customer:463,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
organization,wwi,463,wwi:organization:customer:463,twenty,,interview-wwi-v1,interview-wwi-v1,pending,
organization,wwi,840,wwi:organization:customer:840,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
organization,wwi,840,wwi:organization:customer:840,twenty,,interview-wwi-v1,interview-wwi-v1,pending,
organization,wwi,935,wwi:organization:customer:935,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
organization,wwi,935,wwi:organization:customer:935,twenty,,interview-wwi-v1,interview-wwi-v1,pending,
organization,wwi,961,wwi:organization:customer:961,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
organization,wwi,961,wwi:organization:customer:961,twenty,,interview-wwi-v1,interview-wwi-v1,pending,
organization,wwi,1011,wwi:organization:customer:1011,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
organization,wwi,1011,wwi:organization:customer:1011,twenty,,interview-wwi-v1,interview-wwi-v1,pending,
organization,wwi,3,wwi:organization:supplier:3,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
organization,wwi,6,wwi:organization:supplier:6,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
organization,wwi,7,wwi:organization:supplier:7,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
organization,wwi,8,wwi:organization:supplier:8,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
organization,wwi,9,wwi:organization:supplier:9,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,2,wwi:contact:2,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,25,wwi:contact:25,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,31,wwi:contact:31,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,33,wwi:contact:33,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,35,wwi:contact:35,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,37,wwi:contact:37,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,1115,wwi:contact:1115,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,1115,wwi:contact:1115,twenty,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,1116,wwi:contact:1116,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,1116,wwi:contact:1116,twenty,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,1119,wwi:contact:1119,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,1119,wwi:contact:1119,twenty,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,1120,wwi:contact:1120,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,1120,wwi:contact:1120,twenty,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,1129,wwi:contact:1129,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,1129,wwi:contact:1129,twenty,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,1130,wwi:contact:1130,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,1130,wwi:contact:1130,twenty,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,1175,wwi:contact:1175,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,1175,wwi:contact:1175,twenty,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,1176,wwi:contact:1176,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,1176,wwi:contact:1176,twenty,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,1365,wwi:contact:1365,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,1365,wwi:contact:1365,twenty,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,2125,wwi:contact:2125,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,2125,wwi:contact:2125,twenty,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,3040,wwi:contact:3040,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,3040,wwi:contact:3040,twenty,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,3135,wwi:contact:3135,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,3135,wwi:contact:3135,twenty,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,3161,wwi:contact:3161,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,3161,wwi:contact:3161,twenty,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,3211,wwi:contact:3211,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
contact,wwi,3211,wwi:contact:3211,twenty,,interview-wwi-v1,interview-wwi-v1,pending,
product,wwi,177,wwi:product:177,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
product,wwi,178,wwi:product:178,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
product,wwi,179,wwi:product:179,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
product,wwi,180,wwi:product:180,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
product,wwi,181,wwi:product:181,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
product,wwi,182,wwi:product:182,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
product,wwi,183,wwi:product:183,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
product,wwi,184,wwi:product:184,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
product,wwi,189,wwi:product:189,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
product,wwi,193,wwi:product:193,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
product,wwi,203,wwi:product:203,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
product,wwi,204,wwi:product:204,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order,wwi,66694,wwi:sales_order:66694,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order,wwi,42840,wwi:sales_order:42840,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order,wwi,42411,wwi:sales_order:42411,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order,wwi,40304,wwi:sales_order:40304,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order,wwi,66823,wwi:sales_order:66823,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order,wwi,57891,wwi:sales_order:57891,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order,wwi,56074,wwi:sales_order:56074,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order,wwi,53965,wwi:sales_order:53965,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order,wwi,53222,wwi:sales_order:53222,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order,wwi,47710,wwi:sales_order:47710,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order,wwi,43195,wwi:sales_order:43195,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order,wwi,41481,wwi:sales_order:41481,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order,wwi,36352,wwi:sales_order:36352,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order,wwi,31349,wwi:sales_order:31349,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order,wwi,71206,wwi:sales_order:71206,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order,wwi,63469,wwi:sales_order:63469,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order,wwi,62581,wwi:sales_order:62581,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order,wwi,40787,wwi:sales_order:40787,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order,wwi,60139,wwi:sales_order:60139,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order,wwi,58562,wwi:sales_order:58562,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order,wwi,55522,wwi:sales_order:55522,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order,wwi,51106,wwi:sales_order:51106,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order,wwi,50679,wwi:sales_order:50679,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order,wwi,50258,wwi:sales_order:50258,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order,wwi,73279,wwi:sales_order:73279,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order,wwi,69872,wwi:sales_order:69872,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order,wwi,72172,wwi:sales_order:72172,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order,wwi,55518,wwi:sales_order:55518,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order,wwi,69034,wwi:sales_order:69034,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order,wwi,57457,wwi:sales_order:57457,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order_line,wwi,99059,wwi:sales_order_line:99059,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order_line,wwi,114873,wwi:sales_order_line:114873,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order_line,wwi,127165,wwi:sales_order_line:127165,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order_line,wwi,128923,wwi:sales_order_line:128923,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order_line,wwi,131045,wwi:sales_order_line:131045,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order_line,wwi,127162,wwi:sales_order_line:127162,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order_line,wwi,135309,wwi:sales_order_line:135309,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order_line,wwi,136235,wwi:sales_order_line:136235,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order_line,wwi,150541,wwi:sales_order_line:150541,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order_line,wwi,158700,wwi:sales_order_line:158700,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order_line,wwi,159927,wwi:sales_order_line:159927,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order_line,wwi,161218,wwi:sales_order_line:161218,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order_line,wwi,167892,wwi:sales_order_line:167892,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order_line,wwi,170193,wwi:sales_order_line:170193,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order_line,wwi,174925,wwi:sales_order_line:174925,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order_line,wwi,175151,wwi:sales_order_line:175151,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order_line,wwi,176761,wwi:sales_order_line:176761,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order_line,wwi,181087,wwi:sales_order_line:181087,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order_line,wwi,182357,wwi:sales_order_line:182357,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order_line,wwi,184549,wwi:sales_order_line:184549,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order_line,wwi,189475,wwi:sales_order_line:189475,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order_line,wwi,197021,wwi:sales_order_line:197021,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order_line,wwi,199798,wwi:sales_order_line:199798,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order_line,wwi,209802,wwi:sales_order_line:209802,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order_line,wwi,210128,wwi:sales_order_line:210128,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order_line,wwi,217016,wwi:sales_order_line:217016,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order_line,wwi,219734,wwi:sales_order_line:219734,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order_line,wwi,223750,wwi:sales_order_line:223750,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order_line,wwi,226850,wwi:sales_order_line:226850,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order_line,wwi,230350,wwi:sales_order_line:230350,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
sales_order_line,wwi,230352,wwi:sales_order_line:230352,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order,wwi,2044,wwi:purchase_order:2044,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order,wwi,2046,wwi:purchase_order:2046,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order,wwi,2049,wwi:purchase_order:2049,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order,wwi,2051,wwi:purchase_order:2051,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order,wwi,2053,wwi:purchase_order:2053,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order,wwi,2055,wwi:purchase_order:2055,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order,wwi,2057,wwi:purchase_order:2057,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order,wwi,2059,wwi:purchase_order:2059,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order,wwi,2061,wwi:purchase_order:2061,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order,wwi,2063,wwi:purchase_order:2063,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order,wwi,2065,wwi:purchase_order:2065,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order,wwi,2067,wwi:purchase_order:2067,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order,wwi,2069,wwi:purchase_order:2069,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order,wwi,2072,wwi:purchase_order:2072,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order,wwi,2074,wwi:purchase_order:2074,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order_line,wwi,8240,wwi:purchase_order_line:8240,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order_line,wwi,8241,wwi:purchase_order_line:8241,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order_line,wwi,8242,wwi:purchase_order_line:8242,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order_line,wwi,8249,wwi:purchase_order_line:8249,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order_line,wwi,8250,wwi:purchase_order_line:8250,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order_line,wwi,8251,wwi:purchase_order_line:8251,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order_line,wwi,8260,wwi:purchase_order_line:8260,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order_line,wwi,8261,wwi:purchase_order_line:8261,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order_line,wwi,8262,wwi:purchase_order_line:8262,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order_line,wwi,8269,wwi:purchase_order_line:8269,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order_line,wwi,8270,wwi:purchase_order_line:8270,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order_line,wwi,8271,wwi:purchase_order_line:8271,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order_line,wwi,8278,wwi:purchase_order_line:8278,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order_line,wwi,8279,wwi:purchase_order_line:8279,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order_line,wwi,8280,wwi:purchase_order_line:8280,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order_line,wwi,8287,wwi:purchase_order_line:8287,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order_line,wwi,8288,wwi:purchase_order_line:8288,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order_line,wwi,8289,wwi:purchase_order_line:8289,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order_line,wwi,8296,wwi:purchase_order_line:8296,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order_line,wwi,8297,wwi:purchase_order_line:8297,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order_line,wwi,8298,wwi:purchase_order_line:8298,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order_line,wwi,8301,wwi:purchase_order_line:8301,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order_line,wwi,8308,wwi:purchase_order_line:8308,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order_line,wwi,8309,wwi:purchase_order_line:8309,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order_line,wwi,8310,wwi:purchase_order_line:8310,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order_line,wwi,8317,wwi:purchase_order_line:8317,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
purchase_order_line,wwi,8318,wwi:purchase_order_line:8318,erpnext,,interview-wwi-v1,interview-wwi-v1,pending,
