canonical_id,source_system,source_id,name,roles,primary_contact_source_id,phone,website,address_line_1,address_line_2,city,state,country,postal_code,payment_days,credit_limit,created_at,updated_at,data_class,dataset_version,business_date,seed
operion:demo:interview-v1:customer:001,operion,customer-001,DEMO Northstar Packaging GmbH,customer,customer-001-contact-01,,https://customer-001.example.invalid,Demo Street 1,,Berlin,Berlin,Germany,10001,,,2026-09-15,2026-09-15T09:00:00+02:00,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:customer:002,operion,customer-002,DEMO Northstar Packaging Nord GmbH,customer,customer-002-contact-01,,https://customer-002.example.invalid,Demo Street 2,,Hamburg,Hamburg,Germany,10002,,,2026-09-15,2026-09-15T09:00:00+02:00,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:customer:003,operion,customer-003,DEMO Blue Harbor Supplies GmbH,customer,customer-003-contact-01,,https://customer-003.example.invalid,Demo Street 3,,Berlin,Berlin,Germany,10003,,,2026-09-15,2026-09-15T09:00:00+02:00,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:customer:004,operion,customer-004,DEMO Cedar Works AG,customer,customer-004-contact-01,,https://customer-004.example.invalid,Demo Street 4,,Hamburg,Hamburg,Germany,10004,,,2026-09-15,2026-09-15T09:00:00+02:00,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:customer:005,operion,customer-005,DEMO Juniper Office GmbH,customer,customer-005-contact-01,,https://customer-005.example.invalid,Demo Street 5,,Berlin,Berlin,Germany,10005,,,2026-09-15,2026-09-15T09:00:00+02:00,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:customer:006,operion,customer-006,DEMO Lantern Logistics GmbH,customer,customer-006-contact-01,,https://customer-006.example.invalid,Demo Street 6,,Hamburg,Hamburg,Germany,10006,,,2026-09-15,2026-09-15T09:00:00+02:00,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:customer:007,operion,customer-007,DEMO Meadow Retail GmbH,customer,customer-007-contact-01,,https://customer-007.example.invalid,Demo Street 7,,Berlin,Berlin,Germany,10007,,,2026-09-15,2026-09-15T09:00:00+02:00,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:customer:008,operion,customer-008,DEMO Quartz Workshop GmbH,customer,customer-008-contact-01,,https://customer-008.example.invalid,Demo Street 8,,Hamburg,Hamburg,Germany,10008,,,2026-09-15,2026-09-15T09:00:00+02:00,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:customer:009,operion,customer-009,DEMO Riverbend Services GmbH,customer,customer-009-contact-01,,https://customer-009.example.invalid,Demo Street 9,,Berlin,Berlin,Germany,10009,,,2026-09-15,2026-09-15T09:00:00+02:00,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:customer:010,operion,customer-010,DEMO Summit Sample GmbH,customer,customer-010-contact-01,,https://customer-010.example.invalid,Demo Street 10,,Hamburg,Hamburg,Germany,10010,,,2026-09-15,2026-09-15T09:00:00+02:00,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:supplier:001,operion,supplier-001,DEMO Atlas Cartons GmbH,supplier,supplier-001-contact-01,,https://supplier-001.example.invalid,Demo Street 1,,Berlin,Berlin,Germany,10001,,,2026-09-15,2026-09-15T09:00:00+02:00,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:supplier:002,operion,supplier-002,DEMO Birch Consumables GmbH,supplier,supplier-002-contact-01,,https://supplier-002.example.invalid,Demo Street 2,,Hamburg,Hamburg,Germany,10002,,,2026-09-15,2026-09-15T09:00:00+02:00,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:supplier:003,operion,supplier-003,DEMO Copper Label Works GmbH,supplier,supplier-003-contact-01,,https://supplier-003.example.invalid,Demo Street 3,,Berlin,Berlin,Germany,10003,,,2026-09-15,2026-09-15T09:00:00+02:00,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:supplier:004,operion,supplier-004,DEMO Delta Pallet Supply GmbH,supplier,supplier-004-contact-01,,https://supplier-004.example.invalid,Demo Street 4,,Hamburg,Hamburg,Germany,10004,,,2026-09-15,2026-09-15T09:00:00+02:00,simulated,interview-demo-v1,2026-09-15,42
operion:demo:interview-v1:supplier:005,operion,supplier-005,DEMO Elm Protective Goods GmbH,supplier,supplier-005-contact-01,,https://supplier-005.example.invalid,Demo Street 5,,Berlin,Berlin,Germany,10005,,,2026-09-15,2026-09-15T09:00:00+02:00,simulated,interview-demo-v1,2026-09-15,42
